酒店名称,地址,评分,价格,评价
成都温江滨海酒店(光华公园地铁站店),舒适型_成都温江区光华大道3段1818号珠江国际花园(4号线光华公园站G2出口前行100米家乐福超市旁),4.2,188,"前台服务热情,楼下一条街吃的很多很方便，酒店位置好,干净卫生"
邛崃司马楼商务酒店,舒适型_邛崃兴欣街126号,4.6,192,"性价比很高,值得一住,推荐，很注重细节,性价比高,周边很多美食"
大邑安仁上舍都亭酒店,舒适型_大邑安仁古镇升平街102号,4.5,98,"位置在镇中心却很宁静，不错,非常清净,喜欢这个小镇"
街子古镇香缇郡客栈,舒适型_崇州街子古镇真武街109号,4.8,130,"酒店离古镇很近,周围吃饭很方便，酒店太棒了,超过了我的想象"
速8酒店(成都丽都路维港店),舒适型_成都武侯区丽都路538号,4.6,203,"体验感最好的一家,环境干净卫生，交通便利,前台人员服务态度也很好"
成都瑞喜国际酒店(成都动物园地铁站店),高档型_成都成华区荆翠西路2号川陕立交金科中心6栋,4.6,271,"酒店附近吃的喝的也很多,距离景点也很近，对这个酒店的印象还挺不错的"
成都嘉兰城市酒店(温江南熏大道地铁站店),舒适型_成都温江区文化路一号繁华时代广场9号楼,4,100,"前台小姐姐服务特别好,房间温馨，房间环境很不错,打扫干净卫生,下次还来"
新津南湾假日酒店,舒适型_成都新津区五河路478号,4.6,202,"我商务出行住宿,整体感觉都不错，酒店舒服卫生,特别是前台小姐姐很热情"
成都美集酒店,舒适型_成都龙泉驿区驿都大道大面驿都西路1007号,4.5,133,"停车方便,房间比较干净,五星好评，这个最重要"
成都菱彩瀚都酒店(蜀汉路一品天下地铁站店),高档型_成都金牛区一品天下大街178号,4.3,339,"不好评价，味道不错,水果也好吃,菜品完了补充及时"
成都君临商务酒店,舒适型_成都成华区二环里东二段厂北路口龙湖三千集B座21楼,4.3,93,"新装酒店,干净卫生,价格不贵，非常不错,房间比较大,我们想要安静点的"
梨园祥丽雅阁酒店(文殊坊店),高档型_成都金牛区人民北路一段一号,4.6,372,"前台和餐厅以及保洁阿姨服务都很贴心，有求必应,关键暑假一结束,价格太美丽了"
成都繁江印象酒店,舒适型_成都新都区新繁镇繁江大道南段109号,4.5,101,"卫生干净性价比很高服务态度很好，性价比高,服务态度很好"
悦莱花园酒店(成都国色天香店),舒适型_成都温江区天乡路二段855号(国色天乡三号门),4.6,190,"房间位置很便利,大厅干净整洁，房间干净舒适小李服务态度很好"
成都金立方大酒店,舒适型_成都金牛区花牌坊街37号,4.7,99,"设施先进齐全,卫生也很好,早餐味道不错，酒店地理位置好,去那里都方便"
平乐古镇花间雅阁,舒适型_邛崃江西街102号(平沙落雁正大门对面),4.8,196,"客栈位置是很好的,停车叫车都很方便，床垫也是进口塑料床垫,但是确实很舒服"
温江凯丽酒店(成都财大北门店),舒适型_成都温江区柳台大道251号,4,92,"价格也很实惠,总体来说性价比很高，最重要的是离西财也是非常的近"
9佳快捷酒店(成都西南财经大学金沙遗址店),舒适型_成都青羊区双清中路99号,4.4,61,"酒店前台服务态度很好很热情，交通便利,服务人员热情周到"
山水时尚酒店(大运会体育中心店),舒适型_成都龙泉驿区航天南路18号,4.7,338,"前台小姐姐很热情,房间价格也很实惠，入住很快,房间也比较舒适,价格不贵"
成都雅筑酒店,舒适型_成都新都区新都街道同心路98号1栋1层1号,4.4,190,无
如家酒店(成都万象城双桥路地铁站店),经济型_成都成华区经华北路62号,4.2,99,"很安全,服务也很好很热情，酒店环境不错出行也很方便房间空间也够大"
蒙太奇公寓(成都美领馆川大店),舒适型_成都武侯区科华北路60号1栋2单元3楼(楼道右手边),4.5,161,"房间空间很大,房间设备也很齐全，经济实惠,交通位置也很方便"
汉庭酒店(成都华阳店),经济型_成都双流区华阳街道华新上街77号,4.4,107,"前台小姐姐服务很好,早餐也很多种多样，酒店环境很好,服务人员很热情"
成都蓉城四季酒店(西村店),高档型_成都青羊区贝森路33号,4.6,286,"服务很好办理入住动作很快，有停车场很方便,内侧房间很安静"
玉锦酒店(成都西站青羊万达店),舒适型_成都青羊区光华东三路87号,4.5,174,"漂亮,而且房间住起来特别安静温馨，出行方便周围好吃很多离万达5分钟"
街子古镇味江味花园酒店,舒适型_崇州街子古镇金鱼街158号,4.6,388,"缺点:书桌灯光太暗,可能因为是花园餐厅，前台小姐姐也很热情,酒店房间干净整洁"
嘉立连锁酒店(成都春熙红星路店),经济型_成都锦江区五世同堂街1号,4.2,123,"性价比很高,离市二医院地铁站c口蛮近的，离地铁站很近,周围吃东西也非常方便"
成都天符酒店(金牛万达文殊院店),舒适型_成都金牛区人民北路1段23号,4,112,"干净卫生,有洁癖的我非常满意，酒店服务很好,卫生也不错"
如家商旅酒店(成都宽窄巷子抚琴地铁站店),舒适型_成都金牛区一环路西三段208号,4.6,143,"酒店提供免费?的洗衣房,非常方便实用，8米大床很有舒适感,早餐品种多"
汉庭酒店(成都宽窄巷子店),经济型_成都金牛区槐树街84号附5号,4.3,69,"淋浴房热水很给力,洗漱用品好，环境也很好,去周边的景点也很方便"
海洋之恋酒店(成都西华大学银杏学院店),舒适型_成都郫都区红光镇广场北二路53号1958广场青年公寓8楼,4.1,143,"房间空间也十分宽敞,不错的选择，以后有机会还会选择入住非常非常棒"
速8酒店(成都五大花园金楠天街店),经济型_成都武侯区武晋路1488号11幢1层15号,4.6,192,"服务很好,人美心善，还不错,交通方便,性价比高"
西姆善居成都春熙路天府广场地铁站酒店,高档型_成都青羊区陕西街130号,4.6,114,"大堂提供茶?点心,真的是非常实在的点心，房间很大住起来很舒适"
临空智选假日酒店(成都双流国际机场店),高档型_成都双流区北郊路39号,4.8,393,"不好意思迟到的点评,6月8日凌晨入住的，卫生间浴室的细节也特别棒;服务"
成都云岭四季酒店式公寓,舒适型_成都武侯区晋阳路399号龙湖·金楠星座19楼A,4.6,201,"房间很干净很大，房间很干净很大,设施很齐全,床也很大"
成都广元宾馆,舒适型_成都金牛区营门口金房苑西路2号,4.3,196,"前台、餐厅的工作人员都很热情，交通便捷,房间干净"
万里客酒店(成都武侯祠华西医院店),舒适型_成都武侯区黉门后街9号,3.9,163,"不错的,二次续住，总体还是不错,离华西医院特别近"
成都鑫宏军酒店,舒适型_成都龙泉驿区十陵镇十陵下街69号,4.2,133,"前台小姐姐很热情，酒店环境很好,卫生干净设备完好"
都江堰豪家酒店 (南桥景区店),舒适型_都江堰文庙街9号,4,178,"房间打扫的很干净,有窗,无异味，价格合理,舒适干净,卫生不错"
朗晴公寓(成都春熙店),舒适型_成都锦江区红星路二段红星国际4号楼2604室,4.9,161,"位置太好了,太古里附近,出门就能做地铁，楼下就是地铁3、4号线出行特别方便"
成都八喜青年旅舍,舒适型_成都武侯区小天南巷39号右侧2楼,4.7,48,"老板也很好会帮忙拿行李,房间也舒适干净，性价比很高的一家青旅"
布丁酒店(成都川音川大北门店),经济型_成都武侯区红瓦寺街9号,4.3,185,"很满意，非常满意,赞前台小妹妹简二和保洁阿姨"
格韵四季酒店(成都春熙路店),舒适型_成都青羊区光明巷16号,4.7,168,"周边有很多很多好吃的小门面店，酒店交通便利,出门就是小吃店,味道不错"
花海溢都酒店(成都龙泉驿地铁站店),舒适型_成都龙泉驿区驿都中路2号,4.2,130,"还不错，主要是家庭房太合适了,两大一小"
成都海豚湾公寓,舒适型_成都成华区邛崃山路68号东方新城12栋3单元1201,4.9,293,无
优程酒店(青白江安居路店),舒适型_成都青白江区安居路50号,4.7,94,"服务态度很好，房间大,服务周到,早餐好吃,有车位"
成都金美辰酒店(一品天下地铁站店),舒适型_成都金牛区蜀汉路289号红杏酒家6楼,4,173,"房间很大,交通便利,地铁站就在门口，房间很大"
成都落脚点青年旅舍,舒适型_成都武侯区高升桥东路6号罗马假日广场10栋3楼,4,182,无
成都锦里红牌楼地铁站亚朵酒店,高档型_成都武侯区二环路南四段48号,4.7,303,"体验很不错,下次还会考虑入住亚朵，酒店服务很好,前台桃子很热情"
成都慵懒时光酒店公寓,舒适型_成都成华区邛崃山路68号东方新城2期2栋4单元1603,4.7,156,无
西街小调酒店(成都宽窄巷子店),舒适型_成都金牛区西安南路124号,4.2,191,"距离宽窄巷子很近,楼下很多好吃的饭店，很方便,周围也很多好吃的,老板人也很好"
维也纳酒店(成都杜甫草堂金沙遗址店),舒适型_成都青羊区光华大道瑞联路169号,4.8,106,"店里空间非常大,环境氛围非常好，入住环境很好"
成都熊猫的客人民宿,舒适型_成都成华区建设北路一段56号世茂玉锦湾2栋37层,4.6,131,无
成都郁金香酒店公寓,舒适型_成都锦江区下东大街36号蓝光郁金香花园广场,3.8,134,无
速8酒店(成都理工大学店),经济型_成都成华区崔家店路789号上城国际1-10,3.3,146,"酒店卫生很干净,环境不错,晚上很安静，酒店的价格非常合理,考虑到其优质的服务"
假日sunshine酒店(成都玉林西路衣冠庙地铁站店),舒适型_成都武侯区高新区一环路南三段68号,4.6,147,"总体不错,位于衣冠庙地铁站附近，强烈推荐,下次还会选择这里入住"
风隐天骄酒店(成都团结传媒学院店),舒适型_成都郫都区团结镇花石路35号,4.3,168,"酒店的装修非常精美,特别是大堂和客房，房间的价格也很实惠,性价比高"
青城山康嘉逸居酒店,舒适型_都江堰青城山镇大三路297号,4.6,278,酒店空间很大，环境极其优美
汉庭酒店(都江堰店),舒适型_都江堰光明街40号,4.3,87,房间很大，小姐姐很温柔
锦兰酒店(成都武侯祠店),舒适型_成都武侯区武侯祠大街243号附9号,4.3,160,"靠近地铁3号线,出行较为方便，总体很棒,下次还会再来入住"
花水湾伯达尼酒店,舒适型_大邑花水湾镇武城街146号,4.7,141,无
盛铂·清居国风酒店(成都宽窄巷子中医大省医院地铁站店),舒适型_成都青羊区浣花北路2号,4.2,99,"周边交通也很便利,前台服务也很热情，总之,大学生不骗人?"
汉庭酒店(成都春熙路太古里店),舒适型_成都锦江区大慈寺路20号,4.6,87,"交通便利,晚上很安静，卫生干净,服务热情,交通方便,性价比高"
7天优品酒店(成都火车东站西广场地铁站店),经济型_成都成华区火车东站西广场商业中心(沱江路1号),4.1,249,"房间条件很好,干净整洁，房间很大"
龙城宾馆(成都武侯祠华西医院店),舒适型_成都武侯区利民巷4号,3.2,135,酒店位置很好，华西医院很近看病拿药都很方便
邛崃茶马古道第一村家庭客栈,舒适型_邛崃平乐古镇绕镇路茶马古道第一村,4.6,138,无
西姆酒店(成都世纪城新会展中心店),舒适型_成都双流区中和镇新下街199号,4.5,178,"周边市场很大,买东西方便,价格亲民，离环球中心,会展中心,金融城,都不远"
美湖假日酒店(成都东站川师大狮子山校区店),舒适型_成都锦江区佳宏南横街99号,4.2,87,"首先也是最重要的房间干净整洁，性价比高,早餐很爽呀"
橄榄树酒店(简阳旭海时代广场店),舒适型_简阳东滨路南段御景湾1号楼4-5F,4.5,142,"干净卫生,服务很好,经济实惠，入住这家酒店,体验超乎想象"
成都双流机场亚朵酒店,高档型_成都武侯区武侯大道铁佛段317号世纪百合商业广场,4.9,367,"房间很大,电视机可以投屏,有免费送机，房间宽敞,舒适,明亮,床很大,设备齐全"
华庭酒店(成都双流机场店),舒适型_成都双流区大件路白家段280号蓝光空港国际城2栋1单元,4.3,87,"酒店价格也不贵,很划算，酒店有接送机服务,早晚航班住这家很方便"
乐驿酒店(万象城店),舒适型_成都成华区二环路东三段11号4楼,3.9,105,非常不错的体验，酒店前台把最早打扫好的房间给安排
麗枫酒店(成都双流国际机场店),舒适型_成都双流区珠江路600号蓝光空港国际城二期4栋,4.7,261,"不错的,房间很大,环境良好，酒店很不错,前台小哥哥人特别好"
成都富丽大酒店(市五医院地铁站温江大学城店),舒适型_成都温江区来凤路410号,4.3,104,无
兰庭大酒店(成都大邑高铁站店),舒适型_大邑晋原镇邑新大道873号,4.6,98,"酒店位置好找,停车、出行都很便利，性价比很高"
糖果风尚酒店(成都龙城国际店),舒适型_成都郫都区红光镇红光广场龙城国际22栋2单元中国移动电梯上8层,4.2,146,"环境好,干净,交通也方便,离地铁站也近，干净卫生有浴缸交通便利"
城市便捷酒店(成都金牛万达梁家巷地铁站店),舒适型_成都金牛区解放路一段73号附1号,4.7,142,环境不错服务好好评酒店非常不错，没想到这么平价的酒店入住感觉还这么好
常乐假日酒店(成都新会展中心店),舒适型_成都武侯区天府大道中段500号东方希望天祥广场C座8楼,4.7,243,"床品卫生,睡觉安静不吵,价格也不贵，卫生环境很OK,晚上也不吵"
成都悦扬商务客栈,舒适型_成都温江区和平路218号,4.3,188,无
成都温江时代商务酒店,舒适型_成都温江区海科路东段519号,4.2,87,无
平乐古镇雪双苑客栈,舒适型_邛崃邛崃平乐古镇金河村三组41号,4.3,85,无
成都汉密尔顿酒店,舒适型_成都武侯区外双楠置信路57号附41号,4.2,192,"酒店一般,价格有点贵，总体好评哦,附近很安静"
金沙大酒店(成都西站西南财大店),舒适型_成都青羊区苏坡东路2号,4.5,256,"房间比较干净,总体体验不错，很好,客服很热情"
SFEEL设计师酒店(成都人民南路倪家桥地铁站店),高档型_成都武侯区人民南路四段30号附14号,4.6,282,"位置很方便,出了地铁就是酒店，服务特别好,保洁阿姨很热心"
华阳时尚假日大酒店(成都南湖公园店),舒适型_成都双流区华阳镇正大街1号,4.4,240,"前台客房阿姨服务都很好，设施比较新,价格实惠,服务态度很好"
蓉江印象酒店(温江大学城店),舒适型_成都温江区柳城大道东段99号,3.8,138,"非常满意，酒店非常不错,各方面服务都细致周到"
成都柯帝斯酒店,舒适型_成都郫都区犀浦镇犀池一街110号,4.7,177,是出行來成都最棒的最佳的入驻选择，卫生很干净
都江堰新华海颐·御垒山居酒店,豪华型_都江堰建设路413号,4.6,8000,"依山道森林建设的,风景很漂亮，中秋出行满意的很,服务也很好"
天鹅恋酒店(成都春熙路太古里店),经济型_成都成华区一环路东风路北一巷solo二层(CAGO旁),4.8,113,"我们住了两天感觉不错哦#下次还会来，听听音乐非常有感觉,被褥也挺干净"
瑞熙酒店(成都凤凰山体育公园店),舒适型_成都新都区大丰街道大天路505号,4.7,198,"设施设备完整位置好找,有窗户采光好，酒店的房间很温馨"
崇州楠泰水晶酒店(崇州罨画池店),舒适型_崇州唐安西路390号,4.4,192,"早餐很丰盛,不错?总的来说还不错，方便实惠又干净,很适合歇脚"
速8精选酒店(成都中医大省医院地铁站店),舒适型_成都青羊区蜀都大道清江东路15号,4.2,131,"地理位置也很好找,不错的一家酒店，不过不影响酒店的性价比很高"
青城山睿诚酒店,舒适型_都江堰青城山青农街118号,4.6,89,离前山入口很近，离前山入口很近
成都自由时酒店,舒适型_成都青羊区北东街1号4栋9楼,3.6,126,"楼下吃的很多,离文殊院也很近，位置很好,楼下都是好吃的,房间很干净"
成都稀客Guesthouse客栈,舒适型_成都武侯区吉泰二路266号无国界18栋1单元22楼,4.6,324,无
速8精选酒店(成都郫都郫筒地铁站店),舒适型_成都郫都区郫筒镇望东路129号,4.4,121,"设施都很新,这里离地铁站也很近，干净卫生,交通方便,性价比高"
青城后山龙飞山庄,舒适型_都江堰青城后山泰安古镇驿道街203号,3.4,110,无
速8精选酒店(成都双流机场店),舒适型_成都双流区机场路近都段148-150号,4.5,149,"房间很干净,前台小姐姐的服务特别好，设施设备都很好"
平乐古镇见山别院山景客栈,舒适型_邛崃平乐古镇中学路14,4.7,137,无
心仪酒店(成都龙泉地铁站店),舒适型_成都龙泉驿区龙都南路3号(近龙泉汽车总站),4.4,121,"前台姐姐非常有礼貌，?第一次入住这家酒店,整体体验很不错"
7天连锁酒店(成都武侯祠锦里省骨科医院地铁站店),经济型_成都武侯区大石西路39号,4.3,98,"很通风,房间很安静，我很满意,酒店干净卫生,离地铁站也不远"
朝曼·高空酒店(成都建设路店),舒适型_成都成华区二环路东二段7号东城国际B座23层,4.6,242,"酒店环境很好,服务非常棒，比较好的酒店,价格便宜,交通方便"
全季酒店(都江堰店),舒适型_都江堰外北街1号,4.7,215,"很好的酒店，房间大,住着超舒服,有宾至如归的感觉"
派酒店(都江堰胥家高桥店),经济型_都江堰胥家镇高桥社区重庆路52号,4.6,91,"酒店出行很方便,隔音效果很好，酒店性价比非常高,服务也很不错"
美丽假期酒店(蒲江中节能世纪中心店),舒适型_蒲江前卫街9号(朝阳大道建国麻辣烫斜对面),4.3,147,"好这家酒店地理位置很好,交通方便，整体还是不错的,房间还是挺干净的"
星河酒店(成都龙湖金楠天街店),舒适型_成都武侯区成都武侯区武晋路1488幢1单元,4.3,188,"酒店的员工都很热情周到,服务态度超级好，昨天还不错,服务很好"
IU酒店(成都火车南站店),经济型_成都武侯区人民南路四段48号(桐梓林南路中成市场B座),4.2,116,"房间也不小,算不错啦，前台小姐姐很热情,客房很干净"
成都大源丽景酒店,舒适型_成都武侯区南华路北中街8号,4.4,170,"很方便,周围吃的也多，各个方面都挺好的"
成都头号玩家电竞酒店,舒适型_成都成华区建设北路三段26号银玺国际12楼,4.3,166,"首先也是最重要的房间干净整洁，还给我们免费升房了,体验还不错"
成都美和酒店,舒适型_成都双流区华阳街道办华新中街41号,4.4,244,"环境不错,设施完善,停车方便,早餐丰富，卫生很好,酒店后面有个大停车场"
花水湾第一村森林温泉酒店,高档型_大邑花水湾温泉南街136号,4.1,200,风景特别好，酒店周围很热闹
青城山聚香苑客栈,舒适型_都江堰青城山镇和乐新区板新路35号,4.4,79,"价格实惠,房间大20平米，满意,感谢"
7天酒店(成都宽窄巷子文殊院地铁站店),经济型_成都青羊区万和路99号丽阳天下商务大厦,4,90,前台工作人员耐心友好服务周到，确认是我住过有窗户酒店中条件最次的
成都捷堂酒店,舒适型_成都双流区西航港街道长城路二段锦丽华庭393号,3.8,98,无
成都金地饭店(春熙路店),高档型_成都青羊区新华大道德盛路89号,4.6,268,"中秋住的,很有地质特色,价格友好，停车方便,设施性价比极高,早餐丰富"
回家青年公寓(成都宽窄巷子店),舒适型_成都青羊区金河路69号2幢,4.1,23,不枉费我期待这么久，这个价格当然要求不了什么自行车
锦尚驿和家酒店(宽窄巷子店),舒适型_成都金牛区三洞桥路19号国贸广场13楼,4.4,121,"位置也好，住好多年了,成了朋友,位置好,干净整洁"
逸豪酒店(成都一品天下金沙店),舒适型_成都青羊区金阳路374号,4.3,148,性价比高~小区内很安静，环境卫生空间很大超级喜欢这家酒店
简阳昕雅图酒店,高档型_简阳建设西路川空文化广场,4.3,288,"前台服务特别贴心,值得拥有入住的好酒店，前台很热情,入住体验很不错"
铂名瀚酒店(成都世纪城新会展环球中心店),舒适型_成都武侯区天府一街369号两江国际一栋一单元1楼,4.5,195,"房间很大，前台服务很好,房间特别大,出差性价比高"
7天连锁酒店(成都锦里红牌楼地铁站店),经济型_成都武侯区二环路西一段13号侨台大厦,4.4,158,"离地铁不远很方便,附近吃饭地方很多，环境干净整洁,服务态度很好"
成都濠江博力国际酒店,高档型_成都金牛区迎宾大道438号,4.5,199,"干净,整洁,很舒服,温馨,交通方便，设施齐全,性价比很高,前台服务态度很好"
成都8783青年旅舍,舒适型_成都武侯区锦绣路棕竹街5号,4.2,182,无
成都图腾酒店,舒适型_成都温江区南熏大道三段896号,4.5,110,"非常不错哈了,交通便利,老板热情，非常不错哈,老板热情,交通方便"
筑梦空间公寓(成都天府广场店),舒适型_成都青羊区东华门街53号富力史丹尼国际公寓B座1915,4.5,102,无
颐和大酒店(邛崃高铁站店),舒适型_邛崃长安大道607号,4.3,179,无
天域风情酒店(成都锦里武侯祠店),舒适型_成都武侯区红牌楼佳灵路20号九峰大厦C座,4.9,85,无
小憩驿站酒店(成都缤舍酒店)(春熙路店),舒适型_成都锦江区岳府街38号,4.6,126,"地段很好交通方便，性价比还是比较高,出来旅行的可以选择"
华盟涣然汤池民宿(青城山高铁站店),舒适型_都江堰青城山镇青城人家泉水路35号,4.3,109,"房间感觉整洁，房间挺宽敞的,性价比高,好评"
熊猫王子酒店(成都熊猫基地店),舒适型_成都成华区东荆路988号华宇阳光尚座1幢1单元,4.5,136,前台小姑娘很热心，房间还挺大环境也不错挺干净的
格伦酒店(成都新会展环球中心店),舒适型_成都武侯区天府一街369号两江国际1栋2单元,4.2,195,"这个酒店非常不错,服务态度非常好，这个酒店服务态度很好,设备齐全"
德士顿酒店(成都动物园动物园地铁站店),舒适型_成都成华区东紫路499号,4.3,189,"前台小姐姐人超好，服务很好,设施完善"
怡都商务公寓(成都双流国际机场店),舒适型_成都双流区西航港大道中二段333号5栋三单元12号,4.7,118,无
邛崃欣雅居快捷酒店,舒适型_邛崃兴欣街106号,4.5,100,"前台的美女服务热情周到,值得推荐，其它都很好"
悠泊·青城院子温泉美食度假酒店,高档型_都江堰青城山镇大三路212号,4.6,759,"孩子很喜欢,房间也比较干净，环境很好,服务人员态度特别好"
成都大鼎世纪大酒店,豪华型_成都武侯区天仁南街298号,4.6,89,是不是有点亏呀?总体而言，非常棒的入住体验
来龙大酒店(成都十陵客运站店),舒适型_成都龙泉驿区十陵街道大运村路137号,3.9,171,"房间很宽敞,设施齐全,卫生做得也非常棒，总之很满意"
成都府河宾馆,舒适型_成都双流区华阳正西街207-209号,3.8,158,"真的很棒家人们酒店非常不错，干净卫生,床很大很宽敞"
花香盛世酒店(城东客运站店),舒适型_成都锦江区锦逸路67号,4.2,170,"前台服务好,去那里找前台问讲的很清楚的，让我们发自内心地感谢"
雷泽电竞酒店(杜莆草堂地铁站店),舒适型_成都青羊区清江东路59号,3.9,106,"前台服务好，美美哒,心情都变得更好了"
莫泰168(成都双流国际机场店),舒适型_成都双流区大件路白家段280号7栋2单元,4.6,75,"酒店还不错,价格很实惠,环境也不可以，房间卫生干净,也很安静"
彭州万达广场都市云端酒店,舒适型_彭州天彭镇回龙东路119号牡丹名城,4.8,181,"东西落酒店了,帮我顺丰过来了,好评，早餐可口,环境舒适干净整洁,服务特别好"
成都雅思逸酒店,舒适型_成都成华区建设南街10号,4.1,101,"挺新的,卫生也可以,价格也便宜，房间干净卫生,住着很舒服"
富源智慧酒店(崇州高铁站滨江路店),舒适型_崇州滨江路北一段136号,4.2,92,"安静舒适氛围总体可以卫生也比较干净，床很舒服可以调整,服务也很周到"
瑞欣酒店(成都宽窄巷子店),舒适型_成都金牛区西月城街118号,4.1,94,"在此点赞，特别贴心,服务和设施都非常不错"
成都清居酒店(宽窄巷子店),舒适型_成都金牛区青羊东一路4号,4.4,182,"酒店住起来很舒服,环境干净整洁，总体不错,满意"
成都途者客栈(宽窄巷子店),舒适型_成都金牛区一环路西三段7号西月大厦4楼 地铁2、4号线中医大省医院站D口,3.3,162,无
凯宾酒店(成都伊藤店),舒适型_成都锦江区小科甲巷1号,4.2,130,06很不错，酒店前台0607态度很好很不错
成都金隆酒店,高档型_成都青羊区清江西路51号,4.2,373,"干净卫生,地铁口附近交通方便,好评，酒店位置很好,交通很方便"
空港丰瑞酒店公寓(成都双流机场店),舒适型_成都双流区西航港大道天鹅湖度假村40栋,2.6,131,"离机场是真近,上机场最后的高架桥边边上，价格实惠,老板还亲自接送机"
成都天天佳酒店,舒适型_成都新都区蓉都大道南一段548号,4.2,178,"酒店很干净,房间也很安静,睡得还不错，酒店很干净"
成都兰妹印象酒店,舒适型_成都金牛区西安北路5-7号,4.3,133,"非常好,有电梯,卫生也不错，这是我有史以来住过服务最差的酒店"
栖兴假日酒店(犀浦地铁站店),舒适型_成都郫都区犀浦镇浦兴街44号,4.4,130,"房间很安静,干净,总台服务人员非常热情，还有面馆很多,打印店也很多"
管家酒店(成都双桥路地铁站万象城店),舒适型_成都成华区双林南支路10号,4.6,100,"周围吃饭的地方那个眼花缭乱太多了，酒店地址位置比较好,万象城周边配套好"
如家酒店(成都沙湾美食街地铁站店),经济型_成都金牛区金沙路61号,4.7,105,"服务态度也很好,比7天酒店好多了，一进大厅就感觉很舒适"
7天酒店(成都华西医院武侯祠店),经济型_成都武侯区黉门街8号,4.1,106,"干净卫生,交通、吃饭、购物方便，还好,房间小,卫生好,价格略贵了点"
青城山时光里精品客栈(高铁站店),舒适型_都江堰青城山365宅院东门58栋16号,4.6,177,"老板们态度也很好，服务员态度很好,有问必答"
成都好主题宾馆,舒适型_成都成华区建设中路53号国光一环大厦5楼12号,3.5,151,"还不错，老板人不错,很热情,可以放心入住"
成都天馨酒店,舒适型_成都郫都区高新西区合作路89号龙湖时代天街6栋0111,4.2,108,"最重要的是安全系数比较高，入住这里很轻松,一觉到天亮很安逸"
花水湾罗马假日温泉别墅酒店,舒适型_大邑花水湾镇温泉南街17号,4.5,407,"服务态度特别好，环境很好,走不远就有吃的,酒店自带温泉"
维拉斯汀投影酒店(成都龙潭寺店),舒适型_成都成华区龙潭寺工业园区宝耳路9号,3.9,181,无
安逸酒店(简阳火车站店),舒适型_简阳大古井街154号,4.7,127,"前台接待小张,小钟服务态度很好,热情，前台小张小钟服务态度好热情"
成都上雅红叶酒店,高档型_成都青羊区一环路西一段百花西路一号,4.5,199,"环境很好,服务也好,值得推荐，酒店环境挺不错,干净卫生,交通比较便利"
成都萤火虫公寓,舒适型_成都锦江区梓潼桥西街2号正成财富ID一单元808室,4.3,126,"挺好的,位置优越,离地铁口什么的都挺近，总体还不错,房间敞亮配置齐全"
山水·云酒店(成都建设路店),舒适型_成都成华区二环路东二段7号5楼,4.7,231,"前台妹妹服务好,很不错的还送了小熊猫，这家酒店很不错,前台服务好"
成都清新小居公寓(成都牛市口地铁站天誉店),舒适型_成都锦江区通源街234号环球汇天誉5栋10楼18室,4.5,121,"房间宽敞,配套齐全非常有性价比，酒店很好很大"
成都1休·上城酒店,舒适型_成都郫都区郫筒镇一里阳光街396号,4.4,95,"那个保洁阿姨真的很好，每天才80多块钱,物有所值"
成都国光酒店,舒适型_成都青羊区十二桥路30号附8号,3.9,141,"位置很好,在宽窄巷子附近，距离地铁口很近,距离宽窄巷子很近"
麗枫酒店(成都火车东站四川师范大学店),舒适型_成都锦江区静沙北路311号,4.4,201,"早餐中规中矩,只能说还好吧，住的地方很方便,前台也很热情,下次还来"
安平大酒店(青城后山泰安古镇景区店),舒适型_都江堰青城山镇泰安村5组,4.4,118,"酒店离景点很近光车起点站交通便捷，去后山玩十分方便,酒店很大,房间也超大"
成都九天国际大酒店(成都南站三瓦窑地铁站店),高档型_成都武侯区高攀东路6号,4.3,353,"酒店位置很好找,离商圈很近，前台人很热情非常有礼貌"
成都雅住优享酒店(春熙路王府井店),舒适型_成都锦江区华兴正街39号8楼,4.4,101,"离王府井小吃街50米,价格比较实惠，酒店地理位置很好,紧挨春熙路"
成都奕居酒店,高档型_成都武侯区中和大道一段33号,4.6,322,"酒店位置很好,离地铁站很近，很干净"
亦间·民宿,舒适型_成都锦江区北新街春熙商汇广场21楼,4,92,"服务态度也很好,让人感到特别放松，很好住,带小朋友也很方便,逛街也很方便"
成都蜜佳酒店,舒适型_成都金牛区五块石蓉北商贸大道北城星座32栋15楼(龙湖天街商场楼上),4,111,"房间隔音效果好,房间宽敞,性价比很高，14楼的阿姨打扫卫生非常干净,人又亲切"
大邑道源圣城温泉国际大酒店,高档型_大邑鹤鸣乡平阳街1号,4.2,444,"挺好的,正常水平，卫生还不错"
简阳雅佳达酒店(香港城店),舒适型_简阳北门桥凌江虹缘A座15楼,4.4,140,"在15楼哦,也很清静,没有车水马龙声，环境不错,位置好找,服务很好"
IU酒店(成都世纪城会展中心地铁站店),经济型_成都武侯区天府二街云华路333号无国界大厦18栋2单元,4.5,116,对这个店的智能和设施颇为满意，总体来说挺好的
青城后山永丰山庄,舒适型_都江堰泰安古镇石牌坊下,4.5,119,"酒店的饭菜价格也很合理，床上用品还是很干净的,性价比挺高"
汇鑫酒店(成都双流机场店),舒适型_成都双流区三强北路3段177号,4.5,104,"前台人很好，住的很好,前台服务热情,专业"
谊美斯酒店(大邑美食街店),舒适型_大邑鸳鸯中街一号,4.3,144,无
