酒店名称,地址,评分,价格,评价
成都美佳时光公寓(火车东站店),舒适型_成都成华区青衣江路蓝润东悦荟三栋A座3楼,4.9,172,"干净卫生,环境不错，酒店很干净,服务热情"
成都费尔顿大酒店,豪华型_成都温江区温江区文化路111号,4.9,505,"很棒的酒店,服务很好，卫生很干净,服务很好"
双流爱菲尔大酒店,舒适型_成都双流区双楠大道中段888号汇都皮革城8栋,4.6,163,"服务不错,有接送机,还是比较方便，这家酒店卫生很干净"
宜必思酒店(成都高新科园地铁站店),舒适型_成都武侯区二环路南四段一号,4.4,192,"房间很干净也很安静,没有异味，前台人员很耐心"
远锦国际酒店(成都火车东站凯德广场店),舒适型_成都成华区万科魅力之城和美东路49号-富丽东方对面,4.4,169,"干净卫生酒店太棒了,超过了我的想象，酒店不错,房间也可以?"
丽呈東谷酒店(成都春熙路天府广场地铁站店),高档型_成都青羊区西御街8号(地铁1、2号线天府广场站C出口100米),4.7,379,"特别安静,隔音也很好，房间住得很不错,位置也离地铁站很进"
怡家丽景酒店(成都温江大学城店),高档型_成都温江区南浦路西段柳凤巷171号,4.8,202,"酒店位置好交通方便,自驾可免费停车，位置优越,交通便利,离2条地铁站都近"
青城山忆楠客栈,舒适型_都江堰青城人家泉水四巷34号,4.8,365,"不枉费我期待这么久，服务很不错,老板主动升了房型"
中铁花水湾温泉酒店,五星级_大邑花水湾镇武城街174号1号1层,4.5,699,"温泉挺正宗的,硫磺味道很浓,泡着也舒服，周边环境很不错,房间卫生干净"
西西里精品公寓(成都双流机场店),舒适型_成都双流区锦华路二段北京华联反面166号七天12楼1204房间,4.8,159,"好吃又方便,老板人很好,服务到位,推荐，然后都特别让我满意"
成都领馆区人民南路亚朵酒店,高档型_成都武侯区二环路南二段21号1号楼,4.8,348,"床和枕头是最满意的地方,睡了个美美的觉，总体满意,有些地方需要改进"
加州壹号酒店(成都花牌坊地铁口站),舒适型_成都金牛区金沙路15号,4.6,209,"服务人员热情温柔,早餐也好吃，总体满意"
成都空港云享酒店(双流机场店),豪华型_成都双流区双流国际机场北二路6号,4.7,703,"很棒的入住体验，味道可口,而且服务员的态度极好"
成都春熙太古里正熙美仑酒店,高档型_成都锦江区红星路三段16号,4.5,353,"1,房间够大,没有异味,设施都很新，房间很干净,服务也非常热情"
和颐酒店(成都宽窄巷子楚天君临店),高档型_成都青羊区大庆路2号,4.7,290,"打车也方便,周边成都美食饭店不少，酒店非常不错,各方面服务都细致周到"
假日自在酒店(成都温江南熏大道地铁站店),舒适型_成都温江区两河路东段2号,4.8,185,"挺满意酒店太棒了,超过了我的想象，入住体验很不错,早餐丰富"
弗尼顿酒店(成都火车南站店),舒适型_成都武侯区益州大道北段388号城市春天8号楼,4.3,250,"房间挺大的,很不错，前台特别热情,房间很安静干净,睡的挺香"
安泰安蓉锦江宾馆(成都一品天下金沙店),高档型_成都金牛区茶店子正街132号地铁7号线茶店子站D2出口,4.5,271,"非常满意的酒店,干净整洁，高端大气上档次,成都很好的名片"
龙湖酒店(成都东郊记忆店),舒适型_成都成华区建兴路14号龙湖酒店,4.4,136,"整体店里的环境很好,采光也不错，?酒店非常不错,各方面服务都细致周到"
汇景特色公寓(成都天府广场店),舒适型_成都青羊区史丹尼国际公寓C座15楼,4.6,108,"很满意的一次入住,客房干净又卫生，价格也实惠,性价比很高,推荐"
成都世外桃源酒店,豪华型_成都武侯区科华北路69号,4.8,799,"酒店位置比较好,自驾停车比较方便，这个夏天天气也炎热没想到泳池水质特别棒"
海悦缤纷酒店(成都磨子桥地铁站店),舒适型_成都武侯区一环路南二段科华巷1号,4.3,120,"很不错,位置也好，很不错,昨晚停车刚好有车位,位置很便利"
锦上云宿·精品公寓(成都宽窄巷子店),舒适型_成都青羊区金河路59号尊城国际26楼2613室,4.7,153,"酒店离景点很近,坐地铁方便，逛宽窄巷子都很方便,性价比蛮高的了"
锦江之星(成都宽窄巷子金仙桥店),经济型_成都金牛区北巷子金仙桥5号,4.4,113,"酒店位置好找,有免费停车场，晚上房间很安静一点都不吵,床单被罩干净"
成都雅庭酒店公寓,舒适型_成都成华区邛崃山路68号,4.9,1529,"除了房间空间特别窄小,有蚊子，具体参照网络照片"
锦城罗曼紫薇酒店(成都春熙路太古里店),高档型_成都锦江区春熙路正科甲巷17号,4.7,175,"整体很不错,性价比很高，房间安静整洁,出门去哪里都很方便"
成都乐浮青年旅舍,舒适型_成都青羊区太升北路10号,4.7,132,定的一个大床房床是真的大，窝在厅里看一会儿剧
成都鼓楼智选假日酒店(天府广场春熙路店),高档型_成都青羊区大墙西街72号,4.7,193,"尤其是Lily和小张服务很好,喜欢，假期价格涨幅不大,觉得不错再次预定"
成都好客大酒店(武侯祠高升桥地铁站店),高档型_成都武侯区高升桥路11号,4.5,305,"服务态度好,位置方便,有停车场，前台客服很热情服务周到"
成都明悦大酒店,豪华型_成都武侯区永丰路55号,4.5,162,"服务也不错,感觉就是星级酒店才有的服务，很满意"
都江堰榆城商悦客栈,舒适型_都江堰军民街68号,4.6,97,店家服务态度很好，环境好
成都芯橙酒店,舒适型_成都锦江区总府路18号,4,153,"交通很便利,房间活动空间很大两层，交通方便,价格不贵,性价比很高"
